step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
40,1.0,0.0,0.9246906280517578,0.0018966991060241,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
41,1.0,0.0,0.9246611595153807,0.0017924568201459,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
42,1.0,0.0,0.9245433151721956,0.0019024149475966,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
43,1.0,0.0,0.924454927444458,0.001914922224539,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
44,1.0,0.0,0.924425458908081,0.0019376831565595,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
45,1.0,0.0,0.9243370711803436,0.0021197523634727,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
46,1.0,0.0,0.9243665397167206,0.0020836133515194,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
47,1.0,0.0,0.924337077140808,0.0020991864324247,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
48,1.0,0.0,0.924337077140808,0.0021238531954484,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
49,1.0,0.0,0.924366533756256,0.0021330319351127,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
0,0.6886099934577942,0.0157171596884124,0.8713612198829651,0.006580658225742,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
1,0.8867300093173981,0.0023681424289914,0.8947554469108582,0.0045507869672153,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
2,0.9075499951839447,0.0026530218725035,0.9055981159210204,0.0048596436890282,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
3,0.9218699932098388,0.0017866481967124,0.9113730132579804,0.005327647766341,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
4,0.93260999917984,0.0014949492609424,0.9154979407787324,0.0049667285224504,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
5,0.9416199922561646,0.0015177632855827,0.918326461315155,0.004293616074296,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
6,0.9489499926567078,0.002002120289855,0.9199469685554504,0.0043002031247548,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
7,0.955649995803833,0.0020645795915857,0.9210665881633758,0.0040236139636934,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
8,0.9617900013923644,0.0019876883967663,0.9218621134757996,0.0044053957773453,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
9,0.967519998550415,0.0016369506381677,0.9223335325717926,0.0041651320267364,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
10,0.9725300014019012,0.0016273030377604,0.9231585204601288,0.0040394343984691,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
11,0.9766000032424926,0.0011081483199594,0.9233353137969972,0.0042611621415538,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
12,0.9809200048446656,0.0011214306997214,0.9233352959156036,0.0037496585243379,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
13,0.9843100070953368,0.0009148277254379,0.9231879770755768,0.0035748427384612,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
14,0.9878600060939788,0.0007088030406675,0.9233058393001556,0.0033439809756524,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
15,0.9904300034046172,0.0005797315239876,0.9232469141483308,0.0033184325048429,0.01,0.0,42,1035_1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
