step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
2,0.6105124950408936,0.0696414862668871,0.6072000026702881,0.077493211399376,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
3,0.6599474966526031,0.0625594733836792,0.6437999993562699,0.0597338055289188,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
4,0.6946749925613404,0.0553087622437068,0.667330002784729,0.0484633849641258,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
5,0.7229275047779083,0.0449332388855788,0.6786399900913238,0.0393957670438783,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
6,0.7434000074863434,0.0396064267028352,0.6860600054264069,0.0315496163213714,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
7,0.76177499294281,0.0309197051012707,0.6879700064659119,0.0266385782206861,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
8,0.7751224935054779,0.0280365347117684,0.6897599995136261,0.0246204074044278,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
9,0.7857924938201905,0.0267958858307906,0.6869099915027619,0.0220954138683853,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
10,0.7947149991989135,0.0264157748206194,0.6778099954128265,0.0515330043446158,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
11,0.8020649969577789,0.0267114907839232,0.6886400043964386,0.0205390464708431,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
12,0.8074899971485138,0.0262127215634349,0.6862800061702728,0.0286953570791749,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
13,0.8131949961185455,0.0233922263236161,0.6848699927330018,0.0241526897642562,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
14,0.8185699999332428,0.0226802819742995,0.6909099996089936,0.024769709162247,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
15,0.823502492904663,0.0244009011006841,0.678470003604889,0.0450260021961592,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
16,0.8290199995040893,0.0230798375974482,0.687520009279251,0.0279324483090498,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
